Transaction_ID,Date,Amount,Category,Status,Customer_Email,Customer_Phone
TXN-00600,2023-04-10,556.6,Healthcare,Completed,user600@example.com,+1-507-924-3365
TXN-00181,2023-11-03,593.85,Travel,Completed,user181@example.com,+1-938-252-5712
TXN-00510,2023-08-12,375.36,Utility,Pending,user510@example.com,+1-237-606-9116
TXN-00872,2023-06-26,380.26,Utility,Completed,user872@example.com,+1-997-907-1439
TXN-00076,2023-03-25,623.29,Utility,Pending,user76@example.com,+1-257-500-6873
TXN-00287,2023-01-26,477.23,Entertainment,Completed,user287@example.com,+1-970-966-8355
TXN-00408,2023-12-18,478.64,Entertainment,Completed,user408@example.com,+1-375-874-6531
TXN-00938,2023-01-28,606.25,Utility,Failed,user938@example.com,+1-554-851-1157
TXN-00515,2023-10-23,413.48,Healthcare,Completed,user515@example.com,+1-856-756-9590
TXN-00738,2023-02-05,647.4,Entertainment,Pending,user738@example.com,+1-370-862-1725
TXN-00714,2023-08-08,559.87,Travel,Completed,user714@example.com,+1-537-650-6484
TXN-00249,2023-10-23,764.82,Grocery,Completed,user249@example.com,+1-829-808-9307
TXN-00617,2023-01-26,516.41,Grocery,Completed,user617@example.com,+1-677-746-6886
TXN-00177,2023-03-24,501.95,Entertainment,Completed,user177@example.com,+1-333-769-1982
TXN-00094,2023-05-19,450.85,Healthcare,Completed,user94@example.com,+1-481-208-1803
TXN-00092,2023-08-25,645.3,Healthcare,Completed,user92@example.com,+1-788-502-5837
TXN-00465,2023-06-20,483.15,Healthcare,Completed,user465@example.com,+1-811-685-5350
TXN-00610,2023-02-24,724.41,Utility,Completed,user610@example.com,+1-690-413-6455
TXN-00347,2023-12-03,282.79,Grocery,Completed,user347@example.com,+1-609-961-8204
TXN-00878,2023-08-21,,Healthcare,Completed,user878@example.com,+1-315-446-9185
TXN-00844,2023-09-22,,Healthcare,Completed,user844@example.com,+1-880-864-3711
TXN-00914,2023/13/45,736.62,Healthcare,Completed,user914@example.com,+1-780-370-7024
TXN-00718,2023-01-26,522.55,Entertainment,Completed,user718@example.com,+1-607-526-5775
TXN-00142,2023-02-02,696.07,Grocery,Completed,user142@example.com,+1-536-992-3417
TXN-00665,2023-08-01,393.07,Grocery,Pending,user665@example.com,+1-477-247-2218
TXN-00163,2023-01-02,673.79,Grocery,Completed,user163@example.com,+1-929-532-7240
TXN-00301,2023/13/45,375.65,Utility,Completed,user301@example.com,+1-427-661-6727
TXN-00085,2023-02-06,378.73,Entertainment,Completed,user85@example.com,+1-676-494-9955
TXN-00457,2023-11-14,483.95,Travel,Completed,user457@example.com,+1-366-602-5902
TXN-00700,2023-07-27,472.26,Healthcare,Completed,user700@example.com,+1-623-597-2387
TXN-00685,2023-08-03,316.68,Travel,Completed,user685@example.com,+1-287-990-5839
TXN-00039,2023-04-21,300.77,Entertainment,Failed,user39@example.com,+1-710-933-5781
TXN-00849,2023-09-08,404.34,Travel,Completed,user849@example.com,+1-418-688-2276
TXN-00386,2023-06-04,522.56,Utility,Completed,user386@example.com,+1-324-405-3275
TXN-00049,2023-01-23,551.54,Utility,Failed,user49@example.com,+1-352-657-9824
TXN-00966,2023-11-17,716.02,Travel,Completed,user966@example.com,+1-564-605-9412
TXN-00296,2023-09-04,396.06,Healthcare,Pending,user296@example.com,+1-580-767-2680
TXN-00123,2023-05-15,710.42,Utility,Pending,user123@example.com,+1-511-704-2902
TXN-00859,2023-02-17,417.17,Utility,Completed,user859@example.com,+1-856-893-3340
TXN-00244,2023-09-06,,Entertainment,Pending,user244@example.com,+1-481-805-1920
TXN-00604,2023-07-24,703.35,Grocery,Completed,user604@example.com,+1-461-408-6411
TXN-00730,2023-02-11,383.25,Entertainment,Completed,user730@example.com,+1-932-633-7176
TXN-00213,2023-12-10,643.1,Utility,Completed,user213@example.com,+1-985-340-5186
TXN-00969,2023/13/45,493.98,Entertainment,Completed,user969@example.com,+1-614-663-5093
TXN-00165,2023-09-14,644.51,Healthcare,Completed,user165@example.com,+1-664-717-8048
TXN-00424,2023-05-15,645.74,Travel,Completed,user424@example.com,+1-526-447-8642
TXN-00484,2023-12-04,530.52,Grocery,Completed,user484@example.com,+1-430-504-5735
TXN-00313,2023-04-08,623.81,Travel,Completed,user313@example.com,+1-944-823-9647
TXN-00075,2023-07-06,107.04,Healthcare,Pending,user75@example.com,+1-229-247-6314
TXN-00577,2023-05-26,535.34,Grocery,Completed,user577@example.com,+1-393-942-2848
TXN-00192,2023-02-10,628.46,Grocery,Completed,user192@example.com,+1-547-559-1100
TXN-00937,2023-12-18,346.82,Grocery,Completed,user937@example.com,+1-224-438-9872
TXN-00485,2023-04-09,386.55,Travel,Pending,user485@example.com,+1-921-412-9011
TXN-00713,2023-11-26,418.26,Travel,Completed,user713@example.com,+1-540-835-7224
TXN-00278,2023-08-05,409.97,Entertainment,Pending,user278@example.com,+1-358-279-5846
TXN-00100,2023-06-16,464.81,Healthcare,Completed,user100@example.com,+1-843-299-1645
TXN-00337,2023-07-26,376.18,Grocery,Pending,user337@example.com,+1-912-690-3986
TXN-00225,2023-10-29,429.21,Healthcare,Completed,user225@example.com,+1-832-671-6928
TXN-00363,2023-08-23,483.69,Entertainment,Pending,user363@example.com,+1-231-346-8179
TXN-00378,2023-02-05,527.5,Travel,Completed,user378@example.com,+1-404-325-3223
TXN-00244,2023-09-06,,Entertainment,Pending,user244@example.com,+1-481-805-1920
TXN-00826,2023-12-09,718.01,Entertainment,Completed,user826@example.com,+1-612-727-5558
TXN-00009,2023-12-13,429.58,Grocery,Completed,user9@example.com,+1-812-240-8078
TXN-00850,2023-10-12,420.35,Entertainment,Completed,user850@example.com,+1-335-807-4705
TXN-00059,2023-07-05,549.69,Travel,Completed,user59@example.com,+1-707-237-3068
TXN-00237,2023-01-17,196.23,Grocery,Failed,user237@example.com,+1-816-356-2234
TXN-00736,2023-04-25,,Grocery,Completed,user736@example.com,+1-311-987-5067
TXN-00466,2023-07-30,466.85,Utility,Completed,user466@example.com,+1-871-994-4728
TXN-00415,2023-02-17,549.85,Utility,Completed,user415@example.com,+1-694-450-7653
TXN-00266,2023-11-27,312.83,Utility,Completed,user266@example.com,+1-490-458-3463
TXN-00148,2023-05-09,301.93,Healthcare,Failed,user148@example.com,+1-802-531-1258
TXN-00695,2023-01-15,588.97,Entertainment,Completed,user695@example.com,+1-770-768-9395
TXN-00400,2023-10-11,685.67,Healthcare,Completed,user400@example.com,+1-368-365-6286
TXN-00117,2023-03-15,,Travel,Failed,user117@example.com,+1-310-891-4830
TXN-00453,2023-02-22,352.14,Utility,Pending,user453@example.com,+1-239-340-6456
TXN-00765,2023-10-24,672.39,Healthcare,Failed,user765example.com,+1-598-204-4519
TXN-00825,2023-11-09,433.17,Grocery,Completed,user825@example.com,+1-662-277-2525
TXN-00029,2023-08-18,409.9,Travel,Failed,user29@example.com,+1-837-974-9167
TXN-00581,2023-11-14,,Utility,Failed,user581@example.com,+1-303-808-1550
TXN-00744,2023/13/45,503.91,Utility,Pending,user744@example.com,+1-656-583-7408
TXN-00833,2023-09-07,349.38,Grocery,Completed,user833@example.com,12345
TXN-00271,2023-02-25,716.19,Travel,Pending,user271@example.com,+1-858-536-3093
TXN-00747,2023-05-03,,Travel,Failed,user747@example.com,+1-694-307-5840
TXN-00400,2023-10-11,685.67,Healthcare,Completed,user400@example.com,+1-368-365-6286
TXN-00551,2023-12-13,512.99,Healthcare,Pending,user551@example.com,+1-934-797-9008
TXN-00388,2023-12-01,781.43,Healthcare,Completed,user388@example.com,+1-569-767-7044
TXN-00297,2023-04-20,634.94,None,Completed,user297@example.com,+1-928-728-3042
TXN-00184,2023-01-10,572.37,Utility,Failed,user184@example.com,+1-417-358-8900
TXN-00341,2023-10-24,376.67,Healthcare,Completed,user341@example.com,+1-523-517-9444
TXN-00494,2023-07-24,370.81,Utility,Pending,user494@example.com,+1-406-751-5442
TXN-00082,2023-12-26,553.57,Utility,Completed,user82@example.com,+1-709-797-3344
TXN-00504,2023-01-20,584.45,Entertainment,Completed,user504@example.com,+1-688-866-4267
TXN-00985,2023-04-29,,Utility,Completed,user985@example.com,+1-656-352-1567
TXN-00952,2023-09-25,552.81,Grocery,Completed,user952@example.com,+1-522-602-6345
TXN-00426,2023-08-15,705.29,Grocery,Completed,user426@example.com,+1-453-344-2586
TXN-00091,2023-03-25,514.56,Utility,Completed,user91@example.com,+1-442-590-6881
TXN-00584,2023-05-01,840.6,Travel,Completed,user584@example.com,+1-611-649-4839
TXN-00928,2023-05-10,556.58,Grocery,Pending,user928@example.com,+1-676-489-6090
TXN-00789,2023-12-05,489.48,Travel,Completed,user789@example.com,+1-339-399-7290
TXN-00008,2023-02-22,615.12,Grocery,Completed,user8@example.com,+1-705-648-2317
TXN-00539,2023-12-08,650.94,Travel,Completed,user539@example.com,+1-356-665-7121
TXN-00063,2023-02-05,334.05,Healthcare,Completed,user63@example.com,+1-939-347-7717
TXN-00395,2023-02-23,676.92,None,Pending,user395@example.com,+1-660-677-9476
TXN-00930,2023-02-28,490.14,Entertainment,Completed,user930@example.com,+1-208-577-4287
TXN-00153,2023-12-16,398.0,Healthcare,Completed,user153@example.com,+1-725-807-2786
TXN-00001,2023-11-24,574.51,Healthcare,Completed,user1@example.com,+1-757-430-3441
TXN-00139,2023-12-15,622.03,Healthcare,Completed,user139@example.com,+1-328-778-4362
TXN-00669,2023-08-27,9060.0,Utility,Completed,user669@example.com,+1-412-801-3362
TXN-00896,2023-11-02,597.31,Travel,Completed,user896@example.com,+1-800-849-2083
TXN-00550,2023-07-14,409.4,Healthcare,Completed,user550@example.com,+1-652-319-4365
TXN-00925,2023-06-24,,Entertainment,Completed,user925@example.com,+1-322-714-1862
TXN-00380,2023-07-09,378.76,Grocery,Completed,user380@example.com,+1-930-655-2438
TXN-00279,2023-04-04,510.47,Travel,Completed,user279@example.com,+1-303-719-9843
TXN-00862,2023-07-27,272.64,Entertainment,Completed,user862@example.com,12345
TXN-00843,2023-01-06,331.59,Grocery,Completed,user843@example.com,+1-456-284-7092
TXN-00674,2023-07-19,444.28,Grocery,Completed,user674@example.com,+1-593-973-3292
TXN-00975,2023-02-08,433.07,Healthcare,Completed,user975@example.com,+1-796-800-5240
TXN-00066,2023-04-27,,Healthcare,Completed,user66@example.com,+1-838-909-7512
TXN-00866,2023-12-06,441.84,Healthcare,Completed,user866@example.com,+1-343-970-3017
TXN-00238,2023-06-19,527.97,Grocery,Completed,user238@example.com,+1-381-991-9095
TXN-00096,2023-12-19,280.47,Travel,Completed,user96@example.com,+1-493-994-4770
TXN-00339,2023-10-19,561.94,Entertainment,Completed,user339@example.com,+1-237-500-4302
TXN-00327,2023-03-22,673.72,Travel,Completed,user327@example.com,+1-719-767-1333
TXN-00437,2023-01-19,744.29,Travel,Completed,user437@example.com,+1-706-811-8710
TXN-00149,2023-10-11,578.29,Utility,Completed,user149@example.com,+1-378-471-1858
TXN-00445,2023-06-07,304.33,Grocery,Completed,user445@example.com,+1-275-595-9261
TXN-00827,2023-07-14,736.94,Healthcare,Completed,user827@example.com,+1-911-577-8449
TXN-00204,2023-09-28,658.07,Healthcare,Completed,user204@example.com,+1-697-821-8242
TXN-00659,2023-07-16,529.71,Entertainment,Failed,user659@example.com,+1-257-852-1154
TXN-00919,2023-01-07,433.03,Grocery,Completed,user919@example.com,+1-450-247-8729
TXN-00416,2023-11-21,387.73,Grocery,Failed,user416@example.com,+1-504-664-2195
TXN-00949,2023-11-02,493.16,Utility,Completed,user949@example.com,+1-276-806-2020
TXN-00372,2023-10-03,574.7,Utility,Completed,user372@example.com,+1-455-316-1424
TXN-00185,2023-02-27,466.48,Healthcare,Completed,user185@example.com,+1-429-310-6736
TXN-00079,2023-04-18,513.76,Utility,Completed,user79@example.com,+1-779-898-3950
TXN-00555,2023-06-04,550.64,Healthcare,Failed,user555@example.com,+1-777-259-8575
TXN-00731,2023-08-29,,Healthcare,Completed,user731@example.com,+1-275-659-8851
TXN-00459,2023-05-02,416.95,Entertainment,Completed,user459@example.com,+1-721-745-9025
TXN-00530,2023-12-07,364.35,Entertainment,Pending,user530@example.com,+1-537-509-1187
TXN-00773,2023-02-08,594.86,Travel,Completed,user773@example.com,+1-801-316-6700
TXN-00830,2023-09-11,457.73,Grocery,Completed,user830@example.com,+1-948-669-6869
TXN-00220,2023-05-07,512.28,Grocery,Completed,user220@example.com,+1-646-219-8532
TXN-00044,2023-02-19,454.83,Travel,Completed,user44@example.com,+1-964-339-2143
TXN-00004,2023-05-21,728.45,Travel,Completed,user4@example.com,+1-809-966-5728
TXN-00777,2023-05-05,390.93,Entertainment,Completed,user777@example.com,+1-888-337-6131
TXN-00036,2023-06-24,316.87,Travel,Completed,user36@example.com,12345
TXN-00501,2023-04-02,638.93,Grocery,Completed,user501@example.com,+1-302-897-3252
TXN-00627,2023-11-01,351.56,Healthcare,Completed,user627@example.com,+1-537-435-7223
TXN-00663,2023-04-20,495.09,Utility,Completed,user663@example.com,+1-243-435-4463
TXN-00717,2023-04-04,517.13,Entertainment,Failed,user717@example.com,+1-690-521-3910
TXN-00978,2023-07-29,,Healthcare,Completed,user978@example.com,+1-331-294-6432
TXN-00728,2023-08-04,552.14,Entertainment,Completed,user728@example.com,+1-342-848-5961
TXN-00391,2023-12-08,365.24,Healthcare,Completed,user391@example.com,+1-516-607-8842
TXN-00080,2023-12-10,201.86,Entertainment,Completed,user80@example.com,+1-374-379-2293
TXN-00631,2023-09-16,246.13,None,Completed,user631@example.com,+1-940-857-9037
TXN-00164,2023-05-15,376.9,Entertainment,Pending,user164@example.com,+1-811-743-5831
TXN-00885,2023-06-11,602.28,Grocery,Pending,user885@example.com,+1-217-801-2106
TXN-00421,2023-06-20,809.11,Utility,Completed,user421@example.com,+1-935-526-6658
TXN-00048,2023-05-16,658.57,Healthcare,Completed,user48@example.com,+1-801-793-9022
TXN-00609,2023/13/45,233.19,Travel,Completed,user609@example.com,+1-274-392-4555
TXN-00105,2023-07-25,475.81,Grocery,Completed,user105@example.com,+1-405-335-9837
TXN-00056,2023-05-31,639.69,Grocery,Pending,user56@example.com,+1-525-962-8749
TXN-00101,2023-01-29,287.69,Travel,Pending,user101@example.com,+1-516-651-1546
TXN-00724,2023-06-17,611.49,Utility,Completed,user724@example.com,+1-898-986-1440
TXN-00210,2023-04-13,1077.91,Grocery,Completed,user210@example.com,+1-246-425-7475
TXN-00534,2023-12-06,318.35,Utility,Completed,user534@example.com,+1-514-363-7642
TXN-00127,2023-07-24,351.42,Travel,Completed,user127@example.com,12345
TXN-00749,2023-08-31,408.27,Grocery,Completed,user749@example.com,+1-947-345-6707
TXN-00233,2023-11-20,,Grocery,Completed,user233@example.com,+1-994-557-6752
TXN-00072,2023-05-23,730.71,Utility,Completed,user72@example.com,+1-432-964-2480
TXN-00340,2023-05-07,415.44,Travel,Completed,user340@example.com,+1-244-404-1686
TXN-00050,2023-08-24,235.54,Entertainment,Completed,user50@example.com,+1-695-553-6446
TXN-00543,2023-12-23,579.47,Entertainment,Completed,user543@example.com,+1-896-972-2341
TXN-00064,2023-01-24,320.57,Healthcare,Completed,user64@example.com,+1-870-358-2225
TXN-00839,2023-11-02,647.65,Entertainment,Completed,user839@example.com,+1-651-667-1011
TXN-00916,2023-11-23,541.85,Utility,Pending,user916@example.com,+1-787-890-2889
TXN-00281,2023-08-25,517.03,Entertainment,Pending,user281@example.com,+1-877-544-3147
TXN-00554,2023-10-19,538.16,Healthcare,Completed,user554@example.com,+1-725-625-8484
TXN-00211,2023-06-09,585.63,Utility,Completed,user211@example.com,+1-813-256-1125
TXN-00498,2023/13/45,471.45,Travel,Completed,user498@example.com,+1-431-853-4814
TXN-00587,2023-04-26,431.1,Travel,Completed,user587@example.com,12345
TXN-00876,2023-06-30,769.18,Grocery,Completed,user876@example.com,+1-502-861-1894
TXN-00335,2023-12-12,646.27,Travel,Completed,user335example.com,+1-759-546-3868
TXN-00207,2023-04-19,577.26,Entertainment,Completed,user207@example.com,+1-553-640-2816
TXN-00417,2023-08-05,732.67,Entertainment,Completed,user417@example.com,+1-905-261-3589
TXN-00406,2023-06-25,593.43,Travel,Pending,user406@example.com,+1-714-856-3762
TXN-00187,2023-06-07,570.99,Travel,Completed,user187@example.com,+1-980-485-4705
TXN-00015,2023-01-16,241.26,Entertainment,Completed,user15@example.com,+1-681-731-8245
TXN-00892,2023-09-05,8594.0,Healthcare,Completed,user892@example.com,+1-830-356-5546
TXN-00215,2023-07-11,452.71,Grocery,Completed,user215@example.com,+1-207-709-8055
TXN-00652,2023-06-21,668.98,Healthcare,Completed,user652@example.com,+1-458-562-5379
TXN-00230,2023-01-04,601.94,Utility,Completed,user230@example.com,+1-426-541-3754
TXN-00710,2023-12-06,754.47,Healthcare,Completed,user710@example.com,12345
TXN-00613,2023-04-01,,Grocery,Pending,user613@example.com,+1-964-972-8846
TXN-00958,2023-08-08,,Travel,Completed,user958@example.com,+1-616-323-9780
TXN-00083,2023-12-16,721.68,Travel,Completed,user83@example.com,+1-437-672-5161
TXN-00038,2023-03-21,206.05,Travel,Completed,user38@example.com,+1-672-320-3522
TXN-00212,2023-07-24,670.33,Healthcare,Completed,user212@example.com,+1-409-508-4460
TXN-00090,2023-05-06,576.99,Entertainment,Pending,user90@example.com,+1-593-694-2747
TXN-00990,2023-08-21,504.03,Grocery,Completed,user990@example.com,+1-592-340-7868
TXN-00030,2023-10-29,456.25,Grocery,Pending,user30@example.com,+1-840-652-1845
TXN-00262,2023-08-28,491.07,Utility,Completed,user262@example.com,+1-895-812-1857
TXN-00490,2023-05-23,632.25,Entertainment,Completed,user490@example.com,+1-991-349-5758
TXN-00523,2023-10-03,400.61,Travel,Completed,user523@example.com,+1-379-825-7643
TXN-00890,2023-04-09,666.31,Healthcare,Completed,user890@example.com,+1-918-611-2350
TXN-00880,2023-06-06,678.26,Healthcare,Completed,user880@example.com,+1-740-212-6916
TXN-00805,2023-08-11,434.83,Utility,Pending,user805@example.com,+1-304-953-5055
TXN-00781,2023-12-17,526.66,Healthcare,Completed,user781@example.com,+1-597-628-3258
TXN-00507,2023-08-11,411.14,None,Completed,user507@example.com,+1-987-291-4804
TXN-00964,2023-02-20,ONE HUNDRED,Utility,Completed,user964@example.com,+1-420-535-3430
TXN-00594,2023-11-09,550.05,Travel,Completed,user594@example.com,+1-769-707-1768
TXN-00214,2023-11-29,597.71,Utility,Completed,user214@example.com,+1-496-535-2965
TXN-00329,2023-09-18,593.62,Grocery,Completed,user329@example.com,+1-850-596-7116
TXN-00035,2023-08-05,623.38,Healthcare,Completed,user35@example.com,+1-926-362-6091
TXN-00775,2023-12-20,593.27,Healthcare,Completed,user775@example.com,+1-889-922-5873
TXN-00860,2023-05-31,594.94,Entertainment,Failed,user860@example.com,+1-270-743-1138
TXN-00970,2023-02-11,285.38,Utility,Pending,user970@example.com,+1-296-673-2669
TXN-00450,2023-12-16,341.12,Travel,Pending,user450@example.com,+1-973-347-4261
TXN-00382,2023-03-22,410.09,Healthcare,Completed,user382@example.com,+1-926-266-9882
TXN-00393,2023-06-03,301.97,Grocery,Completed,user393@example.com,+1-788-275-3053
TXN-00359,2023-03-09,548.41,Grocery,Completed,user359@example.com,+1-944-561-8126
TXN-00195,2023-02-05,525.98,Utility,Pending,user195@example.com,+1-293-964-9691
TXN-00561,2023-04-18,543.47,Travel,Completed,user561@example.com,+1-261-270-8734
TXN-00471,2023-12-26,458.74,Healthcare,Pending,user471@example.com,+1-395-219-8225
TXN-00156,2023-11-25,392.85,Grocery,Completed,user156@example.com,+1-508-669-1510
TXN-00959,2023-06-06,585.47,Travel,Completed,user959@example.com,+1-566-988-4401
TXN-00529,2023-02-05,538.96,Entertainment,Completed,user529@example.com,+1-657-971-5374
TXN-00259,2023-07-01,566.57,Entertainment,Pending,user259@example.com,+1-824-362-6962
TXN-00219,2023-03-03,427.2,Travel,Pending,user219@example.com,+1-273-606-1693
TXN-00904,2023-06-04,691.77,Utility,Failed,user904@example.com,+1-708-555-9568
TXN-00477,2023-04-13,586.48,None,Completed,user477@example.com,+1-412-774-6325
TXN-00917,2023-09-09,591.18,Utility,Failed,user917@example.com,+1-433-958-9336
TXN-00455,2023-10-14,420.46,Utility,Completed,user455@example.com,+1-352-820-9446
TXN-00942,2023-06-05,630.87,Grocery,Completed,user942@example.com,+1-443-629-9061
TXN-00182,2023-06-15,371.43,Healthcare,Completed,user182@example.com,+1-814-519-6761
TXN-00675,2023-10-27,288.87,Grocery,Completed,user675@example.com,+1-905-941-2284
TXN-00033,2023-03-23,,Utility,Completed,user33@example.com,+1-915-696-2989
TXN-00644,2023-11-17,274.53,Travel,Completed,user644@example.com,+1-206-744-7739
TXN-00190,2023-05-04,272.77,Travel,Completed,user190@example.com,+1-229-384-5477
TXN-00641,2023-05-22,449.63,Grocery,Completed,user641@example.com,+1-666-582-1990
TXN-00664,2023-02-02,418.49,Healthcare,Pending,user664@example.com,+1-908-780-8790
TXN-00291,2023-02-17,468.78,Entertainment,Completed,user291@example.com,+1-672-987-5616
TXN-00354,2023-12-09,476.01,Travel,Completed,user354@example.com,+1-305-281-6372
TXN-00312,2023-03-21,664.82,Utility,Completed,user312@example.com,12345
TXN-00847,2023-05-04,543.38,Utility,Completed,user847@example.com,+1-639-871-2494
TXN-00992,2023-12-18,,Healthcare,Pending,user992@example.com,+1-455-845-9907
TXN-00895,2023-09-26,707.32,Grocery,Completed,user895@example.com,+1-749-534-7401
TXN-00367,2023-08-23,533.61,Grocery,Failed,user367@example.com,+1-819-357-8371
TXN-00086,2023-11-08,424.74,Travel,Failed,user86@example.com,+1-361-275-8237
TXN-00067,2023-05-29,489.2,Utility,Completed,user67@example.com,+1-865-282-6383
TXN-00634,2023-08-17,435.97,Travel,Completed,user634@example.com,+1-700-388-9882
TXN-00131,2023-09-18,ONE HUNDRED,Grocery,Completed,user131@example.com,+1-422-654-8285
TXN-00366,2023-01-05,439.82,Utility,Completed,user366@example.com,+1-570-592-1530
TXN-00427,2023-10-10,355.26,Utility,Completed,user427@example.com,+1-251-497-7293
TXN-00292,2023-05-02,426.05,Utility,Completed,user292@example.com,+1-996-591-9239
TXN-00143,2023-07-17,258.88,None,Completed,user143@example.com,+1-810-202-5542
TXN-00074,2023-11-22,734.7,Utility,Completed,user74@example.com,+1-654-370-5906
TXN-00414,2023-01-27,691.65,Healthcare,Pending,user414@example.com,+1-496-857-5949
TXN-00176,2023-07-11,624.08,Grocery,Pending,user176@example.com,+1-962-956-7105
TXN-00336,2023-05-01,477.94,Utility,Completed,user336@example.com,+1-997-901-8612
TXN-00720,2023-07-14,491.46,Healthcare,Completed,user720@example.com,+1-789-448-6339
